SELECT * WHERE 
{ 
	 <http://dbpedia.org/resource/James_Watt> ?x ?y
} 


?x	?y
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Fellows_of_the_Royal_Society>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:19th-century_Scottish_people>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_businesspeople>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_inventors>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_Science_Hall_of_Fame>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:British_inventors>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_scientists>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Fellows_of_the_Royal_Society_of_Edinburgh>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:British_Freemasons>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Deists>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_mathematicians>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:18th-century_Scottish_people>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Alumni_of_the_University_of_Glasgow>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_business_theorists>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:People_of_the_Scottish_Enlightenment>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:People_of_the_Industrial_Revolution>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Members_of_the_Lunar_Society>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:British_engineers>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Engine_technology>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:18th-century_physicists>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:1736_births>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Steam_engine_engineers>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_Presbyterians>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:1819_deaths>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:People_from_Greenock>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:People_associated_with_Heriot-Watt_University>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_engineers>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_Engineering_Hall_of_Fame>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_surveyors>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_mechanical_engineers>
<http://purl.org/dc/terms/subject>	<http://dbpedia.org/resource/Category:Scottish_chemists>
<http://dbpedia.org/property/wikiPageUsesTemplate>	<http://dbpedia.org/resource/Template:Reflist>
